Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Afghanistan,AFG,0.626149149168846,2.30237251516833
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Albania,ALB,2.02805963071134,1.41109078954242
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Algeria,DZA,4.26999020467083,1.95176821052891
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,American Samoa,ASM,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Andorra,AND,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Angola,AGO,19.628937970152,17.080954143438
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Antigua and Barbuda,ATG,1.20715793367007,1.43135598182983
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Argentina,ARG,34.2772237131003,53.5483043492339
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Armenia,ARM,2.52023382001637,1.44344660770698
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Aruba,ABW,3.6260414135296,4.25746204335427
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Australia,AUS,1.91140002818579,1.610770929127
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Austria,AUT,1.99837981429548,1.53089564152643
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Azerbaijan,AZE,2.26854690373999,2.61057182799215
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Bahamas, The",BHS,2.26586346678735,2.49123527368045
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bahrain,BHR,2.08766938046978,1.00582004702136
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bangladesh,BGD,5.54362139486476,5.59199639930629
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Barbados,BRB,3.1060057242059,1.67662473276987
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belarus,BLR,4.87230220550689,5.59815595039853
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belgium,BEL,2.05316499865177,1.43681956996438
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belize,BLZ,0.269982622646335,0.187069385181424
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Benin,BEN,0.919170717886053,0.732849371241066
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bermuda,BMU,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bhutan,BTN,2.72396386183713,2.72643037388832
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bolivia,BOL,2.27205987230154,1.83954504969025
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bosnia and Herzegovina,BIH,1.41710814018033,0.56278215406123
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Botswana,BWA,3.23801558947715,2.7728644286332
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brazil,BRA,3.66485028376728,3.73297621216893
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,British Virgin Islands,VGB,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brunei Darussalam,BRN,1.02505179290212,-0.390522069165529
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,2.81454473824838,3.10372944796771
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burkina Faso,BFA,1.95594302672532,-3.23338933983321
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burundi,BDI,-2.81469807668465,-0.686772170797358
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cabo Verde,CPV,1.25615185860785,1.10750930553819
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cambodia,KHM,2.45908515380146,1.94257500833107
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cameroon,CMR,1.0688581131292,2.45280214062732
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Canada,CAN,2.26822567248103,1.94926902411592
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cayman Islands,CYM,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Central African Republic,CAF,1.61215686991555,2.68537355266786
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chad,TCD,4.27462198610545,-0.971939175419401
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Channel Islands,CHI,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chile,CHL,2.43488981353057,2.55754475703326
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,China,CHN,2.07479039965576,2.89923416358226
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Colombia,COL,3.24056932930569,3.52301932741446
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Comoros,COM,2.15155084413033,3.58213544469211
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Congo, Dem. Rep.",COD,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Congo, Rep.",COG,1.15277896375523,2.20607305781525
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Costa Rica,CRI,2.2211146152658,2.09604635327807
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cote d'Ivoire,CIV,0.401297817263547,0.79085551205366
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Croatia,HRV,1.50012501041756,0.771820346498019
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cuba,CUB,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Curacao,CUW,2.58368756641813,2.62220783425058
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cyprus,CYP,1.43549119531759,0.250370996758493
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Czechia,CZE,2.14949494949492,2.84787595918041
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Denmark,DNK,0.813609467455631,0.75813157251162
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Djibouti,DJI,0.138836400011405,3.31763203299602
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Dominica,DMA,0.989191119189889,1.50462353858141
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Dominican Republic,DOM,3.56443426013507,1.81060377042959
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ecuador,ECU,-0.224103246005552,0.266012515466155
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Egypt, Arab Rep.",EGY,14.4014657807421,9.15279959324803
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,El Salvador,SLV,1.09033000581892,0.0753241350024612
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Equatorial Guinea,GNQ,1.06007410662171,1.53027528964189
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Eritrea,ERI,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Estonia,EST,3.43632688420446,2.27725931243522
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Eswatini,SWZ,4.81506167461513,2.59801620311077
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ethiopia,ETH,13.8330356586661,15.8096321719344
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Faroe Islands,FRO,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Fiji,FJI,4.08147637644542,1.79388647514555
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Finland,FIN,1.08382098409305,1.0240939296343
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,France,FRA,1.85081508315492,1.10825492288293
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,French Polynesia,PYF,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Gabon,GAB,4.74906652083221,2.46456756151187
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Gambia, The",GMB,6.52096823946573,7.11567625631192
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Georgia,GEO,2.6152447139767,4.85289821696723
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Germany,DEU,1.73216879766941,1.44565976888253
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ghana,GHA,7.80876516610703,7.14364003330857
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Gibraltar,GIB,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Greece,GRC,0.62562141345364,0.253007522038059
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Greenland,GRL,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Grenada,GRD,0.804102313277033,0.598149764736022
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guam,GUM,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guatemala,GTM,3.75186186704508,3.69998398008605
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guinea,GIN,9.82761701259191,9.47001039253012
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guinea-Bissau,GNB,0.381324702790992,0.24660026814783
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guyana,GUY,1.28284288443528,2.08723089162013
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Haiti,HTI,12.4814111170435,18.7037825672506
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Honduras,HND,4.34734937777528,4.36587159819267
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Hong Kong SAR, China",HKG,2.40613432046534,2.88320853773996
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Hungary,HUN,2.85024792594646,3.33858635382008
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Iceland,ISL,2.68291768267392,3.01397179156053
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,India,IND,3.9388264669163,3.72950573539129
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Indonesia,IDN,3.19834755924996,3.03058460941661
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Iran, Islamic Rep.",IRN,18.0141183371874,39.9073455697784
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Iraq,IRQ,0.367441488936849,-0.198965380023928
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ireland,IRL,0.471130713712916,0.937842961189274
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Isle of Man,IMN,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Israel,ISR,0.805060379528526,0.817645940292794
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Italy,ITA,1.13748763600391,0.611246943765304
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Jamaica,JAM,3.73663882152163,3.90510000865872
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Japan,JPN,0.989094598021848,0.46877615938395
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Jordan,JOR,4.46231108475481,0.761514047265601
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kazakhstan,KAZ,6.16366247577762,5.33356098916669
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kenya,KEN,4.6898064677633,5.23963795764792
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kiribati,KIR,0.564030491493476,-1.81307995302947
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Korea, Dem. People's Rep.",PRK,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Korea, Rep.",KOR,1.47583935002645,0.383000303608136
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kosovo,XKX,1.05379773654991,2.67599202639893
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kuwait,KWT,0.543133148199567,1.09184802655856
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kyrgyz Republic,KGZ,1.54266145238436,1.13362257718804
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lao PDR,LAO,2.04039266890201,3.32255881256925
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Latvia,LVA,2.53445424186598,2.81140920075624
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lebanon,LBN,6.07698907889607,3.00538949390383
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lesotho,LSO,4.7518030162474,5.18708359197982
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Liberia,LBR,23.5635148953742,26.9662760197878
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Libya,LBY,13.1702038536721,-2.16217883470595
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Liechtenstein,LIE,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lithuania,LTU,2.69792779208394,2.33450937988027
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Luxembourg,LUX,1.5281952430738,1.74332075653848
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Macao SAR, China",MAC,3.00446293166953,2.75193081051975
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Madagascar,MDG,8.59422958870476,5.61051441492365
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Malawi,MWI,12.420178108921,9.3708360560567
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Malaysia,MYS,0.884709160571235,0.662891865764326
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Maldives,MDV,-0.133373386117595,0.220029731065383
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mali,MLI,0.299546507387843,-1.65826694846365
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Malta,MLT,1.15782362451517,1.6420600176894
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Marshall Islands,MHL,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mauritania,MRT,3.06735996058356,2.30009262117937
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mauritius,MUS,3.2160538314457,0.405655190309553
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mexico,MEX,4.89935015356551,3.63596142127046
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Micronesia, Fed. Sts.",FSM,1.49840023593737,1.92385170787923
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Moldova,MDA,3.04505397337071,4.83778351428728
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Monaco,MCO,..,..
